TransactionID,UserID,Amount,Time,Location,Type
T0001,U001,2500.00,14:30,Kathmandu,TRANSFER
T0002,U002,1800.50,10:15,Pokhara,WITHDRAWAL
T0003,U003,75000.00,03:47,Kathmandu,TRANSFER
T0004,U001,1.00,03:48,Kathmandu,TRANSFER
T0005,U001,1.00,03:49,Kathmandu,TRANSFER
T0006,U001,50000.00,03:50,Kathmandu,TRANSFER
T0007,U004,3200.75,15:20,Lalitpur,DEPOSIT
T0008,U005,4500.00,12:30,Kathmandu,PAYMENT
T0009,U002,890.25,16:45,Pokhara,WITHDRAWAL
T0010,U006,95000.00,02:15,Delhi,TRANSFER
T0011,U007,2100.00,11:30,Kathmandu,TRANSFER
T0012,U003,3800.50,14:00,Pokhara,DEPOSIT
T0013,U008,150000.00,04:22,Mumbai,TRANSFER
T0014,U001,2200.00,13:15,Kathmandu,WITHDRAWAL
T0015,U009,1200.75,09:30,Lalitpur,PAYMENT
T0016,U010,5.00,23:45,Kathmandu,TRANSFER
T0017,U004,6700.00,16:20,Pokhara,DEPOSIT
T0018,U011,85000.00,01:30,Bangkok,TRANSFER
T0019,U005,1950.25,10:45,Kathmandu,WITHDRAWAL
T0020,U012,3400.00,15:30,Lalitpur,PAYMENT
T0021,U006,2800.50,12:15,Pokhara,TRANSFER
T0022,U013,120000.00,05:10,Singapore,TRANSFER
T0023,U007,1600.75,14:45,Kathmandu,WITHDRAWAL
T0024,U014,4200.00,11:20,Pokhara,DEPOSIT
T0025,U008,2.00,02:30,Kathmandu,TRANSFER
T0026,U015,3900.25,13:40,Lalitpur,PAYMENT
T0027,U009,7800.00,16:10,Kathmandu,TRANSFER
T0028,U016,110000.00,03:15,Dubai,TRANSFER
T0029,U010,2500.50,10:30,Pokhara,WITHDRAWAL
T0030,U017,1850.75,15:45,Kathmandu,DEPOSIT
T0031,U011,3.00,23:20,Kathmandu,TRANSFER
T0032,U018,5600.00,12:50,Lalitpur,PAYMENT
T0033,U012,8900.25,14:25,Pokhara,TRANSFER
T0034,U019,200000.00,04:45,London,TRANSFER
T0035,U013,2750.00,11:15,Kathmandu,WITHDRAWAL
T0036,U020,4100.50,16:30,Pokhara,DEPOSIT
T0037,U014,1.50,01:45,Kathmandu,TRANSFER
T0038,U015,6300.75,13:20,Lalitpur,PAYMENT
T0039,U016,3200.00,10:40,Kathmandu,TRANSFER
T0040,U017,89000.00,05:30,Tokyo,TRANSFER
T0041,U001,2400.25,14:50,Kathmandu,WITHDRAWAL
T0042,U002,5700.00,11:35,Pokhara,DEPOSIT
T0043,U003,180000.00,02:40,New York,TRANSFER
T0044,U004,1900.50,15:15,Lalitpur,PAYMENT
T0045,U005,3600.75,12:25,Kathmandu,TRANSFER
T0046,U018,4.00,23:55,Kathmandu,TRANSFER
T0047,U019,7200.00,16:40,Pokhara,WITHDRAWAL
T0048,U020,2100.25,09:50,Kathmandu,DEPOSIT
T0049,U006,130000.00,03:25,Sydney,TRANSFER
T0050,U007,1750.50,14:35,Lalitpur,PAYMENT
